Interação,Resultado
1,0.8775825618903728
2,0.6390124941652592
3,0.8026851006823349
4,0.6947780267880062
5,0.7681958312820161
6,0.719165445942419
7,0.752355759421527
8,0.7300810631378233
9,0.7451203413514401
10,0.7350063090148431
11,0.7418265226432459
12,0.7372357254422314
13,0.7403296518782632
14,0.7382462383322335
15,0.7396499627696612
16,0.7387045393569833
17,0.7393414522812101
18,0.7389124493321031
19,0.739201444135799
20,0.739006779780813
21,0.7391379107622928
22,0.7390495805952085
23,0.7391090814205267
24,0.7390690012040115
25,0.7390959998357547
26,0.7390778132851752
27,0.739090063988251
28,0.7390818117781093
29,0.7390873705710358
30,0.7390836261034798
31,0.7390861484228788
32,0.7390844493586487
33,0.7390855938689606
34,0.7390848229131414
